,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
462,universal-dependencies-treebank-basque,https://lod-cloud.net/dataset/universal-dependencies-treebank-basque,Universal Dependencies Treebank Basque,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Basque treebank.,corpus; linguistics; lod,linguistic,,,,
753,universal-dependencies-treebank-bulgarian,https://lod-cloud.net/dataset/universal-dependencies-treebank-bulgarian,Universal Dependencies Treebank Bulgarian,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Bulgarian treebank.,corpus; linguistics; lod,linguistic,,,,
207,universal-dependencies-treebank-catalan,https://lod-cloud.net/dataset/universal-dependencies-treebank-catalan,Universal Dependencies Treebank Catalan,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Catalan treebank.,corpus; linguistics; lod,linguistic,,,,
393,universal-dependencies-treebank-chinese,https://lod-cloud.net/dataset/universal-dependencies-treebank-chinese,Universal Dependencies Treebank Chinese,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Chinese treebank.,corpus; linguistics; lod,linguistic,,,,
902,universal-dependencies-treebank-coptic,https://lod-cloud.net/dataset/universal-dependencies-treebank-coptic,Universal Dependencies Treebank Coptic,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Coptic treebank.,corpus; linguistics; lod,linguistic,,,,
1410,universal-dependencies-treebank-croatian,https://lod-cloud.net/dataset/universal-dependencies-treebank-croatian,Universal Dependencies Treebank Croatian,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Croatian treebank.,corpus; linguistics; lod,linguistic,,,,
1069,universal-dependencies-treebank-czech,https://lod-cloud.net/dataset/universal-dependencies-treebank-czech,Universal Dependencies Treebank Czech,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Czech treebank.,corpus; linguistics; lod,linguistic,,,,
558,universal-dependencies-treebank-czech-cac,https://lod-cloud.net/dataset/universal-dependencies-treebank-czech-cac,Universal Dependencies Treebank Czech-CAC,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Czech-CAC treebank.,corpus; linguistics; lod,linguistic,,,,
1569,universal-dependencies-treebank-czech-cltt,https://lod-cloud.net/dataset/universal-dependencies-treebank-czech-cltt,Universal Dependencies Treebank Czech-CLTT,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Czech-CLTT treebank.,corpus; linguistics; lod,linguistic,,,,
1171,universal-dependencies-treebank-danish,https://lod-cloud.net/dataset/universal-dependencies-treebank-danish,Universal Dependencies Treebank Danish,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Danish treebank.,corpus; linguistics; lod,linguistic,,,,
424,universal-dependencies-treebank-dutch,https://lod-cloud.net/dataset/universal-dependencies-treebank-dutch,Universal Dependencies Treebank Dutch,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Dutch treebank.,corpus; linguistics; lod,linguistic,,,,
733,universal-dependencies-treebank-dutch-lassysmall,https://lod-cloud.net/dataset/universal-dependencies-treebank-dutch-lassysmall,Universal Dependencies Treebank Dutch-LassySmall,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Dutch-LassySmall treebank.,corpus; linguistics; lod,linguistic,,,,
428,universal-dependencies-treebank-english,https://lod-cloud.net/dataset/universal-dependencies-treebank-english,Universal Dependencies Treebank English,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's English treebank.,corpus; linguistics; lod,linguistic,,,,
